,trial,choice,result,game_state,scheduled_probability,rt_central,rt_choice,time_start,time_end,subject,date,med_program_file,session
96,097,maximization,not_rewarded,6,0.3333,1.82,3.07,1511.38,1526.27,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
97,098,maximization,not_rewarded,6,0.3333,1.81,0.94,1528.27,1541.02,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
98,099,maximization,not_rewarded,6,0.3333,6.21,0.91,1543.02,1560.14,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
99,100,maximization,rewarded,6,0.3333,2.48,2.11,1562.14,1579.73,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
100,101,maximization,not_rewarded,6,0.3333,2.58,0.87,1581.73,1595.18,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
101,102,maximization,rewarded,6,0.3333,0.73,0.83,1597.18,1611.74,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
102,103,maximization,not_rewarded,6,0.3333,1.7,0.89,1613.74,1626.33,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
103,104,maximization,not_rewarded,6,0.3333,0.61,1.64,1628.33,1640.58,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
104,105,maximization,rewarded,6,0.3333,0.91,1.67,1642.58,1658.16,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
105,106,maximization,rewarded,6,0.3333,1.57,0.85,1660.16,1675.58,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
106,107,maximization,not_rewarded,6,0.3333,2.15,1.08,1677.58,1690.81,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
107,108,maximization,not_rewarded,6,0.3333,1.14,1.21,1692.81,1705.16,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
108,109,maximization,rewarded,6,0.3333,1.15,0.91,1707.16,1722.22,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
109,110,maximization,rewarded,6,0.3333,1.33,1.64,1724.22,1740.19,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
110,111,maximization,not_rewarded,6,0.3333,1.76,1.28,1742.19,1755.23,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
111,112,maximization,rewarded,6,0.3333,1.57,0.95,1757.23,1772.75,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
112,113,maximization,not_rewarded,6,0.3333,0.91,1.61,1774.75,1787.27,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
